,CID
0,8025
1,8470
2,8471
3,8472
4,8913
5,8914
6,9666
7,9667
8,9668
9,11331
10,11332
11,11333
12,11397
13,11750
14,11751
15,11752
16,15725
17,15726
18,15727
19,15728
20,15732
21,15733
22,17578
23,18211
24,18384
25,18385
26,18386
27,19342
28,23180
29,24123
30,24124
31,24366
32,24367
33,24368
34,24885
35,24886
36,25221
37,25222
38,25288
39,25289
40,25290
41,25291
42,25683
43,25746
44,26396
45,29604
46,29605
47,29606
48,31047
49,32300
50,32301
51,32302
52,32438
53,32439
54,37234
55,37235
56,37236
57,37278
58,37279
59,37280
60,37281
61,37337
62,37338
63,37339
64,37822
65,37823
66,37824
67,37825
68,37826
69,37828
70,37829
71,37830
72,37831
73,37832
74,37833
75,37957
76,37958
77,39266
78,39267
79,39555
80,39589
81,39590
82,39591
83,39885
84,39908
85,40269
86,44235
87,44236
88,45180
89,45181
90,45183
91,45185
92,45186
93,45187
94,45189
95,45190
96,45192
97,45203
98,45204
99,46738
100,46739
101,46740
102,47091
103,47093
104,47094
105,47095
106,47520
107,47521
108,47522
109,47524
110,47557
111,54431
112,54432
113,54433
114,54851
115,55571
116,58571
117,58572
118,58573
119,58574
120,58576
121,58577
122,58578
123,58602
124,59093
125,59094
126,59095
127,59096
128,59097
129,60535
130,60817
131,60818
132,60844
133,60845
134,60846
