,BID
0,22195
1,22382
2,22443
3,22495
4,22567
5,22670
6,22723
7,22872
8,22895
9,23358
10,23359
11,23436
12,23463
13,23513
14,23520
15,23576
16,23587
17,23673
18,23699
19,23777
20,23800
21,23846
22,23851
23,23953
24,24005
25,24016
26,24041
27,24074
28,24104
29,24108
30,24169
31,24224
32,24233
33,24264
34,24315
35,24325
36,24480
37,24493
38,24554
39,24570
40,24604
41,24717
42,24726
43,24760
44,24789
45,24795
46,24841
47,24858
48,24871
49,24912
50,24951
51,24953
52,24972
53,25001
54,25003
55,25034
56,25049
57,25051
58,25123
59,25129
60,25134
61,25187
62,25197
63,25268
64,25276
65,25277
66,25314
67,25350
68,25370
69,25444
70,25461
71,25484
72,25503
73,25518
74,25603
75,25610
76,25618
77,25650
78,25686
79,25696
80,25716
81,25740
82,25752
83,25758
84,25787
85,25792
86,25843
87,25848
88,25872
89,25883
90,25898
91,25904
92,25964
93,25971
94,25981
95,25982
96,26038
97,26042
98,26050
99,26092
100,26098
101,26124
102,26125
103,26204
104,26206
105,26238
106,26240
107,26250
108,26262
109,26311
110,26333
111,26343
112,26354
113,26360
114,26375
115,26399
116,26425
117,26471
118,26474
119,26475
120,26485
121,26540
122,26553
123,26599
124,26607
125,26611
126,26614
127,26620
128,26654
129,26671
130,26684
131,26693
132,26728
133,26731
134,26745
135,26765
136,26795
137,26803
138,26806
139,26812
140,26863
141,26865
142,26867
143,26894
144,26900
145,26945
146,26968
147,26977
148,26991
149,26992
150,27107
151,27692
152,27945
153,28304
