FID,FID_road_s,FID_Georgi,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Leng,Length,Lat,Lon
0,0,0,1104475228022, , ,S1630,0.002711948,216.3110046,30.34129906,-97.70210266
1,1,1,110485880461,E Anderson Ln,M,S1640,0.004035221,416.2139893,30.34129906,-97.70210266
2,0,0,1104475228022, , ,S1630,0.002711948,216.3110046,30.33989906,-97.70059967
3,3,3,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.33989906,-97.70059967
4,3,3,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34329987,-97.69819641
5,5,5,110485880229,Wonsley Dr E,M,S1400,0.006655668,637.3179932,30.34329987,-97.69819641
6,37,37,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766,30.34799957,-97.71219635
7,68,68,110485779348,N Lamar Blvd,M,S1200,0.004492485,432.7210083,30.34799957,-97.71219635
8,43,43,1103571766677,S Red Oak Cir,M,S1400,0.000898561,96.2888031,30.34830093,-97.70059967
9,51,51,110485879123,Red Oak Cir,M,S1400,0.001960056,194.9400024,30.34830093,-97.70059967
10,65,65,110485883791,Primrose St,M,S1400,0.001355409,133.1289978,30.34989929,-97.69709778
11,74,74,110485884038,Rosemary Ln,M,S1400,0.001147919,125.7089996,30.34989929,-97.69709778
12,112,112,110485879385,Schirra Pl,M,S1400,0.00039104,39.13970184,30.35519981,-97.69869995
13,118,118,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.35519981,-97.69869995
14,112,112,110485879385,Schirra Pl,M,S1400,0.00039104,39.13970184,30.35499954,-97.6984024
15,120,120,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35499954,-97.6984024
16,172,172,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.36300087,-97.6969986
17,173,173,1105598230786,W Rundberg Ln,M,S1400,0.004445489,426.6069946,30.36300087,-97.6969986
18,1,1,110485880461,E Anderson Ln,M,S1640,0.004035221,416.2139893,30.34280014,-97.70349884
19,2,2,110485880461,E Anderson Ln,M,S1640,0.004035221,416.2139893,30.34280014,-97.70349884
20,4,4,110485877400,Gessner Dr,M,S1400,0.003172301,306.1690063,30.34280014,-97.70349884
21,2,2,110485880461,E Anderson Ln,M,S1640,0.004035221,416.2139893,30.34399986,-97.70510101
22,6,6,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766,30.34399986,-97.70510101
23,12,12,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34399986,-97.70510101
24,3,3,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34460068,-97.69719696
25,7,7,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34460068,-97.69719696
26,9,9,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073,30.34460068,-97.69719696
27,4,4,110485877400,Gessner Dr,M,S1400,0.003172301,306.1690063,30.34499931,-97.7016983
28,5,5,110485880229,Wonsley Dr E,M,S1400,0.006655668,637.3179932,30.34499931,-97.7016983
29,13,13,110485880229,Wonsley Dr E,M,S1400,0.006655668,637.3179932,30.34499931,-97.7016983
30,6,6,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766,30.34499931,-97.70659637
31,21,21,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766,30.34499931,-97.70659637
32,25,25,110485879039,Purnell Dr,M,S1400,0.002198793,233.4199982,30.34499931,-97.70659637
33,7,7,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34530067,-97.69680023
34,8,8,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34530067,-97.69680023
35,10,10,11012812858705, , ,S1780,0.00233298,223.4219971,30.34530067,-97.69680023
36,8,8,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34539986,-97.69670105
37,11,11,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34539986,-97.69670105
38,20,20,11012812858859, , ,S1780,0.003416995,316.946991,30.34539986,-97.69670105
39,9,9,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073,30.34550095,-97.69889832
40,14,14,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073,30.34550095,-97.69889832
41,16,16,11012812858843, , ,S1780,0.00077565,82.41870117,30.34550095,-97.69889832
42,11,11,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34600067,-97.69629669
43,15,15,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34600067,-97.69629669
44,20,20,11012812858859, , ,S1780,0.003416995,316.946991,30.34600067,-97.69629669
45,14,14,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073,30.34609985,-97.70020294
46,34,34,110485844496,Powell Ln E,M,S1400,0.006800597,661.4450073,30.34609985,-97.70020294
47,38,38,110485896326,Sam Rayburn Dr,M,S1400,0.002212022,236.4049988,30.34609985,-97.70020294
48,15,15,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34609985,-97.69619751
49,18,18,11012812897108, , ,S1780,0.000406004,27.79030037,30.34609985,-97.69619751
50,31,31,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34609985,-97.69619751
51,18,18,11012812897108, , ,S1780,0.000406004,27.79030037,30.34620094,-97.6964035
52,24,24,11012812897107, , ,S1780,0.001500614,150.9700012,30.34620094,-97.6964035
53,29,29,11012812897109, , ,S1780,0.00074649,81.16560364,30.34620094,-97.6964035
54,19,19,11012812897106, , ,S1780,0.000557524,59.49860001,30.3465004,-97.6977005
55,23,23,11012812897105, , ,S1780,0.000607771,60.28929901,30.3465004,-97.6977005
56,24,24,11012812897107, , ,S1780,0.001500614,150.9700012,30.3465004,-97.6977005
57,21,21,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766,30.34659958,-97.70970154
58,37,37,110485880491,W Anderson Ln,M,S1640,0.008735602,821.5009766,30.34659958,-97.70970154
59,47,47,110486144371, , ,S1740,0.004105996,417.8559875,30.34659958,-97.70970154
60,22,22,11012812897104, , ,S1780,0.000497077,53.06539917,30.34670067,-97.69819641
61,23,23,11012812897105, , ,S1780,0.000607771,60.28929901,30.34670067,-97.69819641
62,36,36,11012812858966, , ,S1780,0.003937761,389.4580078,30.34670067,-97.69819641
63,25,25,110485879039,Purnell Dr,M,S1400,0.002198793,233.4199982,30.34679985,-97.70539856
64,26,26,110485880231,Wonsley Dr W,M,S1400,0.002119953,210.1560059,30.34679985,-97.70539856
65,30,30,110485880231,Wonsley Dr W,M,S1400,0.002119953,210.1560059,30.34679985,-97.70539856
66,31,31,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34740067,-97.69539642
67,36,36,11012812858966, , ,S1780,0.003937761,389.4580078,30.34740067,-97.69539642
68,46,46,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34740067,-97.69539642
69,32,32,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005,30.34749985,-97.7009964
70,43,43,1103571766677,S Red Oak Cir,M,S1400,0.000898561,96.2888031,30.34749985,-97.7009964
71,45,45,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005,30.34749985,-97.7009964
72,44,44,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34830093,-97.70279694
73,45,45,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005,30.34830093,-97.70279694
74,50,50,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34830093,-97.70279694
75,46,46,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34840012,-97.69480133
76,48,48,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34840012,-97.69480133
77,85,85,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34840012,-97.69480133
78,48,48,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34910011,-97.6964035
79,49,49,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34910011,-97.6964035
80,55,55,11012812897100, , ,S1780,0.000883655,94.21240234,30.34910011,-97.6964035
81,49,49,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34910011,-97.6964035
82,52,52,11012812897096, , ,S1780,0.003854297,404.8080139,30.34910011,-97.6964035
83,60,60,11012812897096, , ,S1780,0.003854297,404.8080139,30.34910011,-97.6964035
84,50,50,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.3491993,-97.70230103
85,51,51,110485879123,Red Oak Cir,M,S1400,0.001960056,194.9400024,30.3491993,-97.70230103
86,53,53,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.3491993,-97.70230103
87,53,53,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34959984,-97.70200348
88,57,57,110485882604,Jennifer Ln,M,S1400,0.000941837,92.99549866,30.34959984,-97.70200348
89,58,58,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34959984,-97.70200348
90,54,54,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.34970093,-97.70300293
91,56,56,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.34970093,-97.70300293
92,79,79,110485841176,Bolles Cir,M,S1400,0.003290623,333.8649902,30.34970093,-97.70300293
