,customer,weight,round,length
0,[61],[5],0,1761.551149
1,[76],[5],0,1653.041164
2,"[64, 69]","[3, 2]",0,1756.6615035999998
3,"[62, 71, 54, 75]","[1, 1, 1, 2]",0,3352.1728051
4,"[82, 78, 81]","[1, 1, 3]",0,1476.7715265
5,[79],[5],1,1517.839711
6,"[92, 45, 63, 95]","[1, 2, 1, 1]",1,990.677703
7,"[58, 97, 43]","[1, 1, 3]",1,2181.738635
8,"[70, 89, 68]","[1, 3, 1]",1,1924.776588
9,[66],[2],1,2117.29029
10,[96],[5],2,1217.0076154
11,[93],[2],2,1080.8824206
12,"[94, 84, 85]","[1, 1, 3]",2,1067.7101984
13,"[85, 25]","[3, 2]",2,2076.4209627
14,"[87, 88, 90]","[1, 1, 3]",2,1151.8750119000001
