,customer,weight,round,length
0,"[20, 9, 51, 35, 88, 52, 57, 59, 45, 8]","[2, 2, 2, 2, 1, 2, 1, 1, 1, 1]",0,1500.2116305270001
1,"[31, 10, 89, 69, 56, 15, 87, 21, 84]","[1, 2, 1, 3, 1, 1, 1, 3, 2]",0,1720.933156569
2,"[55, 71, 86, 24, 11, 53, 36, 31, 58, 5]","[1, 2, 3, 1, 2, 2, 1, 1, 1, 1]",1,1589.049274643
3,"[22, 29, 1, 17, 13, 82, 48, 79, 0, 74, 90, 46]","[1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",1,2292.76225839
4,"[62, 32, 81, 44, 64, 30, 78]","[2, 4, 1, 1, 4, 2, 1]",2,2052.390789717
5,"[50, 60, 66, 47, 70, 4, 16, 22, 63, 2, 6, 49]","[1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1]",2,916.524850648
6,"[42, 26, 73, 67, 14, 54, 38, 25, 75, 85, 83]","[1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1]",3,1018.6995565469999
7,"[7, 61, 72, 80, 37, 68, 23, 39, 33, 3, 12, 40, 34]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",3,2122.6102940789997
8,"[18, 41, 76, 19, 28]","[2, 3, 1, 1, 4]",4,2043.740646111
9,"[27, 43, 65, 77]","[1, 2, 2, 5]",4,2062.571358723
