,customer,weight,round,length
0,"[70, 22, 86, 72]","[11, 1, 2, 1]",0,3201.7392623059995
1,"[77, 40, 97, 8, 26, 9, 10]","[4, 1, 2, 1, 1, 2, 4]",0,2526.8823492320003
2,"[28, 92, 35, 49, 36, 70, 69]","[1, 1, 1, 1, 1, 9, 1]",0,3636.8556244970005
3,"[59, 27, 74, 98, 47]","[10, 1, 1, 1, 2]",0,2446.675758753
4,[18],[15],1,1407.683026612
5,"[85, 52, 38, 39, 46, 100, 89, 31, 84, 79]","[1, 2, 1, 1, 1, 2, 1, 3, 2, 1]",1,2835.5941845236
6,[18],[15],1,1407.683026612
7,"[18, 4, 58, 25]","[10, 3, 1, 1]",1,2081.179559902
8,[],[],2,0.0
9,"[4, 56, 60]","[1, 2, 2]",2,2038.0916826389998
10,[],[],2,0.0
11,[],[],2,0.0
