,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Tracts
0,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0
1,101,101,101,102,101,101,101,101,101,102,101,101,101,103,101,101,101,101,103,104,101,101,101,101,101,1
2,134,134,134,134,134,134,134,135,134,141,134,134,134,134,134,134,134,135,136,134,134,134,134,140,139,100
3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,101
4,111,111,111,111,111,111,111,111,111,111,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,104
5,149,149,149,149,149,149,149,149,150,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,105
6,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,106
7,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,107
8,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,108
9,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,109
10,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,11
11,39,39,43,44,45,66,66,70,71,72,67,67,71,72,73,67,67,71,72,73,67,67,71,72,73,110
12,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
13,139,139,139,139,139,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,113
14,189,189,189,189,189,189,189,189,189,189,189,189,189,189,190,189,189,189,189,189,189,189,189,189,189,114
15,68,68,68,68,68,68,68,70,69,70,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,116
16,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,117
17,35,35,40,35,37,36,36,41,36,38,36,36,36,36,36,36,40,40,40,36,36,36,41,37,36,118
18,119,119,119,119,119,119,119,119,119,119,119,119,119,120,119,119,119,119,119,119,119,119,120,120,120,12
19,47,47,47,47,47,47,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,120
20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,121
21,56,56,56,56,56,56,56,56,57,56,56,56,56,56,60,56,57,56,56,56,56,63,63,56,56,122
22,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,123
23,115,115,115,115,115,115,115,115,115,116,115,115,115,117,117,115,115,115,119,115,115,115,117,115,115,124
24,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,126
25,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,145,144,144,144,127
26,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,128
27,51,51,51,53,53,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,129
28,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,13
29,80,80,80,89,80,80,80,80,82,82,80,83,90,90,87,0,0,0,0,0,0,0,0,0,0,130
30,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,131
31,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,132
32,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,134
33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,137
34,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,138
35,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
37,51,51,51,51,51,51,51,51,51,51,51,59,51,59,56,51,51,51,51,51,51,51,51,51,51,141
38,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,81,81,81,81,81,142
39,113,113,113,113,113,113,113,113,113,113,113,113,116,114,114,113,114,113,113,113,113,113,113,113,113,143
40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,144
41,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,145
42,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,147
43,51,51,51,51,51,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,66,65,65,148
44,75,75,75,75,75,75,75,75,76,76,75,75,76,76,76,75,75,75,75,75,75,75,75,75,75,149
45,101,101,101,101,101,101,101,102,101,102,101,101,101,101,101,101,101,101,101,101,101,103,103,102,103,15
46,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,150
47,37,37,37,37,37,37,50,50,59,58,37,41,57,61,61,37,41,57,61,61,37,41,57,61,61,151
48,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,98,98,98,98,98,98,98,98,98,98,152
49,147,147,147,147,147,147,147,147,147,148,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,153
50,101,101,101,101,101,101,101,101,103,103,101,101,102,102,102,101,101,101,101,101,101,101,101,101,101,154
51,149,149,149,149,149,149,149,149,149,149,149,149,150,152,154,149,149,149,150,151,149,149,150,150,150,156
52,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,157
53,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,158
54,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,159
55,86,86,86,86,86,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,16
56,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,160
57,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,161
58,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,85,85,85,85,85,162
59,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,163
60,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,164
61,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,165
62,70,70,70,70,70,70,70,70,71,70,70,70,70,70,71,70,70,70,74,70,70,70,70,70,70,166
63,294,294,294,294,294,294,294,294,295,295,294,294,294,294,294,294,294,294,301,294,294,294,294,294,294,167
64,48,48,48,49,49,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,168
